tiempo,VELOCIDAD,ACELERACION
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,-0,298333333333333
10,0,2,06416666666667
11,3,58,2,20833333333333
12,3,87,0,123333333333333
13,4,46,0,858333333333333
14,5,56,1,23916666666667
15,6,8,1,17166666666667
16,7,72,0,419166666666667
17,7,68,-0,0999999999999994
18,7,57,-0,365833333333333
19,6,8,-1,31166666666667
20,5,07,-1,8275
21,3,42,-1,31166666666667
22,2,46,-0,838333333333333
23,1,66,-0,7675
24,1,05,-0,211666666666667
25,1,35,0,76
26,2,52,1,6775
27,4,3,1,0525
28,4,52,0,0166666666666666
29,4,72,0,628333333333334
30,5,68,0,680833333333333
31,6,04,0,559166666666667
32,6,91,0,920833333333333
33,7,85,1,2
34,9,11,0,705
35,9,24,0,201666666666667
36,9,57,-0,0150000000000006
37,9,11,-0,715833333333333
38,8,25,-0,908333333333333
39,7,27,-1,25083333333333
40,5,75,-1,71333333333333
41,4,12,-1,06333333333333
42,3,61,-0,524166666666667
43,2,91,-0,651666666666667
44,2,36,-0,4375
45,1,94,-0,685833333333333
46,1,1,-0,5675
47,1,06,0,5975
48,2,13,1,09916666666667
49,3,01,0,749166666666667
50,3,51,-0,0383333333333333
51,3,11,-0,148333333333333
52,3,39,0,4275
53,3,83,0,413333333333333
54,4,14,0,178333333333334
55,4,15,-0,128333333333333
56,3,81,-0,729166666666667
57,2,73,-1,28083333333333
58,1,53,-0,779166666666667
59,1,28,0,00833333333333327
60,1,56,0,815
61,2,87,1,64166666666667
62,4,47,1,0325
63,4,86,0,1475
64,5,09,0,57
65,6,06,1,1375
66,7,23,1,16583333333333
67,8,33,1,07333333333333
68,9,26,0,5125
69,9,42,0,1875
70,9,8,0,5425
71,10,4,0,424999999999999
72,10,59,0,0866666666666663
73,10,64,0,0549999999999993
74,10,68,-0,0941666666666666
75,10,46,-0,218333333333334
76,10,28,-0,195833333333333
77,10,06,-0,174166666666666
78,9,83,-0,485000000000001
79,8,95,-1,22333333333333
80,7,22,-2,6975
81,3,86,-3,17083333333333
82,1,48,-1,3925
83,1,08,0,245
84,1,69,0,824166666666667
85,2,6,1,135
86,3,75,0,7175
87,3,94,-0,1075
88,3,8,0,174166666666667
89,4,29,0,328333333333333
90,4,46,0,4425
91,5,28,1,05333333333333
92,6,41,1,08166666666667
93,7,25,0,379166666666667
