tiempo;VELOCIDAD;ACELERACION;;
1;0;0;;0
2;0;0;;0
3;0;0;;0
4;0;0;;0
5;0;0;;0
6;0;0;;0
7;0;0;;0
8;0;0;;0
9;0;-0,298333333;;0
10;0;2,064166667;;0
11;3,58;2,208333333;;3,58
12;3,87;0,123333333;;3,87
13;4,46;0,858333333;;4,46
14;5,56;1,239166667;;5,56
15;6,8;1,171666667;;6,8
16;7,72;0,419166667;;7,72
17;7,68;-0,1;;7,68
18;7,57;-0,365833333;;7,57
19;6,8;-1,311666667;;6,8
20;5,07;-1,8275;;5,07
21;3,42;-1,311666667;;3,42
22;2,46;-0,838333333;;2,46
23;1,66;-0,7675;;1,66
24;1,05;-0,211666667;;1,05
25;1,35;0,76;;1,35
26;2,52;1,6775;;2,52
27;4,3;1,0525;;4,3
28;4,52;0,016666667;;4,52
29;4,72;0,628333333;;4,72
30;5,68;0,680833333;;5,68
31;6,04;0,559166667;;6,04
32;6,91;0,920833333;;6,91
33;7,85;1,2;;7,85
34;9,11;0,705;;9,11
35;9,24;0,201666667;;9,24
36;9,57;-0,015;;9,57
37;9,11;-0,715833333;;9,11
38;8,25;-0,908333333;;8,25
39;7,27;-1,250833333;;7,27
40;5,75;-1,713333333;;5,75
41;4,12;-1,063333333;;4,12
42;3,61;-0,524166667;;3,61
43;2,91;-0,651666667;;2,91
44;2,36;-0,4375;;2,36
45;1,94;-0,685833333;;1,94
46;1,1;-0,5675;;1,1
47;1,06;0,5975;;1,06
48;2,13;1,099166667;;2,13
49;3,01;0,749166667;;3,01
50;3,51;-0,038333333;;3,51
51;3,11;-0,148333333;;3,11
52;3,39;0,4275;;3,39
53;3,83;0,413333333;;3,83
54;4,14;0,178333333;;4,14
55;4,15;-0,128333333;;4,15
56;3,81;-0,729166667;;3,81
57;2,73;-1,280833333;;2,73
58;1,53;-0,779166667;;1,53
59;1,28;0,008333333;;1,28
60;1,56;0,815;;1,56
61;2,87;1,641666667;;2,87
62;4,47;1,0325;;4,47
63;4,86;0,1475;;4,86
64;5,09;0,57;;5,09
65;6,06;1,1375;;6,06
66;7,23;1,165833333;;7,23
