tiempo,VELOCIDAD,ACELERACION
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,-0.298333333
10,0,2.064166667
11,3.58,2.208333333
12,3.87,0.123333333
13,4.46,0.858333333
14,5.56,1.239166667
15,6.8,1.171666667
16,7.72,0.419166667
17,7.68,-0.1
18,7.57,-0.365833333
19,6.8,-1.311666667
20,5.07,-1.8275
21,3.42,-1.311666667
22,2.46,-0.838333333
23,1.66,-0.7675
24,1.05,-0.211666667
25,1.35,0.76
26,2.52,1.6775
27,4.3,1.0525
28,4.52,0.016666667
29,4.72,0.628333333
30,5.68,0.680833333
31,6.04,0.559166667
32,6.91,0.920833333
33,7.85,1.2
34,9.11,0.705
35,9.24,0.201666667
36,9.57,-0.015
37,9.11,-0.715833333
38,8.25,-0.908333333
39,7.27,-1.250833333
40,5.75,-1.713333333
41,4.12,-1.063333333
42,3.61,-0.524166667
43,2.91,-0.651666667
44,2.36,-0.4375
45,1.94,-0.685833333
46,1.1,-0.5675
47,1.06,0.5975
48,2.13,1.099166667
49,3.01,0.749166667
50,3.51,-0.038333333
51,3.11,-0.148333333
52,3.39,0.4275
53,3.83,0.413333333
54,4.14,0.178333333
55,4.15,-0.128333333
56,3.81,-0.729166667
57,2.73,-1.280833333
58,1.53,-0.779166667
59,1.28,0.008333333
60,1.56,0.815
61,2.87,1.641666667
62,4.47,1.0325
63,4.86,0.1475
64,5.09,0.57
65,6.06,1.1375
66,7.23,1.165833333
67,8.33,1.073333333
68,9.26,0.5125
69,9.42,0.1875
70,9.8,0.5425
71,10.4,0.425
72,10.59,0.086666667
73,10.64,0.055
74,10.68,-0.094166667
75,10.46,-0.218333333
76,10.28,-0.195833333
77,10.06,-0.174166667
78,9.83,-0.485
79,8.95,-1.223333333
80,7.22,-2.6975
81,3.86,-3.170833333
82,1.48,-1.3925
83,1.08,0.245
84,1.69,0.824166667
85,2.6,1.135
86,3.75,0.7175
87,3.94,-0.1075
88,3.8,0.174166667
89,4.29,0.328333333
90,4.46,0.4425
91,5.28,1.053333333
92,6.41,1.081666667
93,7.25,0.379166667
94,7.24,0.031666667
95,7.37,-0.039166667
96,6.99,-0.780833333
97,5.72,-1.9325
98,3.41,-2.049166667
99,1.92,-1.121666667
100,1.18,-0.280833333
101,1.34,0.536666667
102,2.14,0.970833333
103,3.16,1.075
104,4.09,0.413333333
105,4.04,-0.09
106,4.22,0.655
107,5.28,1.035
108,6.15,0.934166667
109,7.06,0.535833333
110,7.25,0.215
111,7.65,0.56
112,8.29,0.544166667
113,8.66,0.2475
114,8.8,0.053333333
115,8.76,-0.099166667
116,8.45,-0.768333333
117,7.05,-2.144166667
118,4.34,-3.0125
119,1.61,-1.701666667
120,1.08,0.003333333
121,1.39,0.78
122,2.54,1.424166667
123,3.93,0.9325
124,4.31,0.05
125,4.36,0.489166667
126,5.38,1.203333333
127,6.62,1.314166667
128,7.95,1.355833333
